Name,Value,Timestamp,Step
"Accuracy",0.6430769230769231,1659371578867,1
"F1_Score",0.6762489343563513,1659371578867,1
"AUC",0.6650915750915751,1659371578867,1
"FPR","[0.0, 0.0, 0.0, 0.016666666666666666, 0.016666666666666666, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.1, 0.1, 0.11666666666666667, 0.11666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.0, 0.0, 0.04, 0.04, 0.05333333333333333, 0.05333333333333333, 0.06666666666666667, 0.06666666666666667, 0.08, 0.08, 0.09333333333333334, 0.09333333333333334, 0.2, 0.0, 0.013333333333333332, 0.013333333333333332, 0.026666666666666665, 0.026666666666666665, 0.05333333333333333, 0.05333333333333333, 0.13333333333333333, 0.13333333333333333, 0.16, 0.16, 0.2, 0.0, 0.02, 0.02, 0.06, 0.06, 0.08, 0.08, 0.12, 0.12, 0.13999999999999999, 0.13999999999999999, 0.18, 0.18, 0.2, 0.0, 0.016666666666666666, 0.03333333333333333, 0.03333333333333333, 0.05, 0.05, 0.06666666666666667, 0.06666666666666667, 0.08333333333333334, 0.08333333333333334, 0.11666666666666667, 0.11666666666666667, 0.13333333333333333, 0.13333333333333333, 0.15, 0.15, 0.18333333333333332, 0.18333333333333332, 0.2]",1659371578867,1
"TPR","[0.0, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.07692307692307693, 0.07692307692307693, 0.10769230769230768, 0.10769230769230768, 0.12307692307692308, 0.12307692307692308, 0.13846153846153847, 0.13846153846153847, 0.16923076923076924, 0.16923076923076924, 0.18461538461538463, 0.18461538461538463, 0.2, 0.0, 0.02, 0.02, 0.06, 0.06, 0.12, 0.12, 0.13999999999999999, 0.13999999999999999, 0.16, 0.16, 0.2, 0.2, 0.0, 0.0, 0.1, 0.1, 0.12, 0.12, 0.13999999999999999, 0.13999999999999999, 0.18, 0.18, 0.2, 0.2, 0.0, 0.0, 0.026666666666666665, 0.026666666666666665, 0.12, 0.12, 0.14666666666666667, 0.14666666666666667, 0.17333333333333334, 0.17333333333333334, 0.18666666666666668, 0.18666666666666668, 0.2, 0.2, 0.0, 0.0, 0.0, 0.05714285714285714, 0.05714285714285714, 0.11428571428571428, 0.11428571428571428, 0.1285714285714286, 0.1285714285714286, 0.14285714285714285, 0.14285714285714285, 0.15714285714285714, 0.15714285714285714, 0.17142857142857143, 0.17142857142857143, 0.18571428571428572, 0.18571428571428572, 0.2, 0.2]",1659371578867,1
